What is your graduation year?,Where are you planning to live next year?,What college are you in?,What gender do you identify as?,What is your family income?,Will you have a car on campus next year?,"How would you rate, from 1-5, the ease of transportation on Cornell's Ithaca campus? (1- very difficult, 5- very easy)",Have you ever taken the TCAT?,"With which of the methods have you used the TCAT in the past? (check all that apply) - Cornell ID (free for first-year students, weekends + evening for all students)",With which of the methods have you used the TCAT in the past? (check all that apply) - Prepaid TCAT card,With which of the methods have you used the TCAT in the past? (check all that apply) - OmniRide Pass,With which of the methods have you used the TCAT in the past? (check all that apply) - Cash,With which of the methods have you used the TCAT in the past? (check all that apply) - None,"How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Walking","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Bus","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Car","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Rideshare","How often do you anticipate use the following transportation modes in Ithaca next year, provided cla - Bike, Scooter, Skateboard",What is the maximum you would pay for a single bus fare?,What is the maximum you would pay for an OmniRide pass (unlimited rides for a semester)?
2022,Collegetown,SC Johnson College of Business - Dyson,Female,100-150k,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,4-6 times per week,1-3 times per week,A few times per month,Never,$2.00,$60
2022,Collegetown,School of Industrial Labor Relations (ILR),Female,75-100k,Maybe,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,Never,Never,Never,$2.00,$50
2022,Collegetown,College of Agriculture and Life Sciences (CALS),Female,75-100k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,1-3 times per week,Never,,$1.00,Less than $50
2024,West Campus ,College of Engineering,Female,75-100k,Maybe,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,1-3 times per week,1-3 times per week,Never,$1.00,$60
2022,Collegetown,SC Johnson College of Business - Dyson,Non-binary / third gender,300k+,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,4-6 times per week,1-3 times per week,1-3 times per week,A few times per month,A few times per month,$2.00,$100
2024,Other,College of Agriculture and Life Sciences (CALS),Prefer not to say,Prefer not to answer,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,Never,A few times per month,Never,$1.50,$70
2023,Other,College of Engineering,Female,75-100k,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,4-6 times per week,Never,1-3 times per week,Never,Never,$2.00,$100
2022,Collegetown,School of Industrial Labor Relations (ILR),Female,100-150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,Never,Never,Never,$1.50,$50
2021,Other,School of Industrial Labor Relations (ILR),Female,0-25k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,4-6 times per week,A few times per month,Never,A few times per month,$1.50,$100
2021,West Campus ,SC Johnson College of Business - Dyson,Female,50-75k,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,1-3 times per week,A few times per month,A few times per month,Never,$2.00,$100
2024,West Campus ,College of Engineering,Female,300k+,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,4-6 times per week,A few times per month,Never,Never,$2.00,$80
2024,Other,College of Engineering,Non-binary / third gender,200-300k,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,4-6 times per week,Never,Never,Never,$1.00,$50
2023,Other,SC Johnson College of Business - Dyson,Male,Prefer not to answer,Maybe,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,1-3 times per week,Never,Never,$1.00,$80
2023,Collegetown,College of Engineering,Female,300k+,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,1-3 times per week,Never,Never,$1.00,$50
2023,Collegetown,School of Industrial Labor Relations (ILR),Male,100-150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,1-3 times per week,Never,Never,$0.00,$0
2023,Collegetown,College of Engineering,Female,300k+,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,1-3 times per week,1-3 times per week,Never,$2.00,$0
2023,Other,College of Arts and Sciences (CAS),Female,200-300k,Maybe,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,A few times per month,Never,Never,$1.50,$60
2024,Collegetown,College of Arts and Sciences (CAS),Female,300k+,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,4-6 times per week,Never,A few times per month,Never,$2.00,$100
2021,Other,College of Engineering,Female,100-150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,OmniRide Pass,Cash,,Never,Never,Never,Never,Never,$2.00,$120+
2022,Collegetown,College of Human Ecology (CHE),Female,100-150k,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,A few times per month,A few times per month,Never,$0.50,$80
2022,Collegetown,College of Agriculture and Life Sciences (CALS),Male,0-25k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",Prepaid TCAT card,,,,Every Day,1-3 times per week,A few times per month,A few times per month,Never,$2.00,Less than $50
2023,West Campus ,College of Human Ecology (CHE),Female,0-25k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Every Day,Never,Never,Never,$2.50,Less than $50
2022,Collegetown,College of Agriculture and Life Sciences (CALS),Female,150-200k,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,Never,Never,Never,Never,$2.00,Less than $50
2023,Collegetown,School of Industrial Labor Relations (ILR),Female,200-300k,Yes,5,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,Never,1-3 times per week,Never,A few times per month,$1.50,$50
2024,West Campus ,College of Agriculture and Life Sciences (CALS),Female,200-300k,Maybe,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,A few times per month,Never,Never,$0.50,$60
2023,Collegetown,College of Engineering,Male,300k+,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,4-6 times per week,A few times per month,Never,$0.00,Less than $50
2023,Collegetown,College of Engineering,Female,Prefer not to answer,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,4-6 times per week,Never,Never,$0.50,$50
2022,Collegetown,College of Engineering,Female,200-300k,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,A few times per month,Never,Never,$2.00,$50
2023,West Campus ,College of Engineering,Female,200-300k,Yes,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,4-6 times per week,Never,Never,$1.50,Less than $50
2024,Collegetown,College of Arts and Sciences (CAS),Male,Prefer not to answer,Maybe,1,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,Never,Never,Never,$0.00,$0
2024,North Campus,College of Agriculture and Life Sciences (CALS),Female,300k+,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,Never,Never,Never,$1.50,$120+
2023,North Campus,College of Arts and Sciences (CAS),Female,Prefer not to answer,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,Never,A few times per month,Never,$1.00,$50
2024,Collegetown,College of Agriculture and Life Sciences (CALS),Female,Prefer not to answer,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,Never,Never,Never,$0.00,Less than $50
2022,Collegetown,College of Arts and Sciences (CAS),Male,Prefer not to answer,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,1-3 times per week,Never,Never,$0.50,$0
2024,North Campus,SC Johnson College of Business - Hotel,Female,150-200k,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,4-6 times per week,Never,Never,$1.00,Less than $50
2023,Collegetown,College of Engineering,Female,200-300k,No,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,1-3 times per week,A few times per month,A few times per month,A few times per month,$1.50,$100
2022,Collegetown,SC Johnson College of Business - Dyson,Female,100-150k,Yes,4,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,4-6 times per week,1-3 times per week,Never,$1.00,Less than $50
2022,North Campus,College of Human Ecology (CHE),Female,100-150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",Prepaid TCAT card,,Cash,,Every Day,A few times per month,4-6 times per week,A few times per month,A few times per month,$2.50,$120
2023,Collegetown,College of Arts and Sciences (CAS),Female,Prefer not to answer,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,1-3 times per week,A few times per month,Never,$1.50,$50
2022,North Campus,College of Engineering,Female,Prefer not to answer,Yes,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,A few times per month,A few times per month,Never,1-3 times per week,$2.00,$70
2021,Other,SC Johnson College of Business - Dyson,Female,150-200k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,Never,Never,Never,$1.50,$50
2022,Collegetown,College of Arts and Sciences (CAS),Female,75-100k,No,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,A few times per month,A few times per month,Never,$2.50,$110
2023,North Campus,College of Engineering,Female,100-150k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,A few times per month,Never,Never,$1.50,$90
2022,Collegetown,College of Agriculture and Life Sciences (CALS),Female,0-25k,Yes,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,Never,A few times per month,Never,Never,$0.50,Less than $50
2021,Other,College of Arts and Sciences (CAS),Female,300k+,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Every Day,A few times per month,Never,Never,Never,$2.50,$50
2024,Other,College of Arts and Sciences (CAS),Non-binary / third gender,25-50k,Yes,2,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,Cash,,Never,1-3 times per week,1-3 times per week,Never,Never,$2.00,Less than $50
2023,Collegetown,SC Johnson College of Business - Dyson,Female,50-75k,No,3,Yes,"Cornell ID (free for first-year students, weekends + evening for all students)",,,,,Every Day,1-3 times per week,A few times per month,Never,Never,$1.50,$80
